GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
1,3,3,0,30,111
2,4,5,0,84,390
3,5,7,0,90,315
4,6,9,0,204,834
5,7,11,0,706,3469
6,8,13,0,1544,7961
7,9,15,0,2866,14287
8,10,17,0,1756,8227
9,11,19,0,8090,46052
10,12,21,0,13216,61573
11,13,23,0,20014,102481
12,14,25,0,48648,226245
13,15,27,0,110934,590463
14,16,29,0,76168,380854
15,17,31,0,177394,917095
16,18,33,0,384936,1921407
17,19,35,0,588554,3137345
18,20,37,0,1582064,8640638
19,21,39,0,4054234,21968329
20,22,41,0,4666520,24559976
21,23,43,0,8790370,42696331
22,24,45,0,34620800,192323084
23,25,47,0,75258650,444636191
24,26,49,0,37453480,188716966
25,27,51,0,29922986,142791770
26,28,53,0,89033824,388078948
