GraphNumber,VertexNumber,EdgeNumber,PermutationTime(us),DFSTimev1(us),DFSTimev2(us)
1,3,3,0,10,17
2,4,5,0,12,28
3,5,7,0,17,38
4,6,9,0,22,48
5,7,11,0,40,103
6,8,13,0,31,81
7,9,15,0,327,927
8,10,17,0,370,1182
9,11,19,0,246,690
10,12,21,0,929,2422
11,13,23,0,1518,3965
12,14,25,0,2243,5451
13,15,27,0,5673,14199
14,16,29,0,25995,71795
15,17,31,0,17495,49841
16,18,33,0,37771,86874
17,19,35,0,154416,340686
18,20,37,0,99652,230245
19,21,39,0,170453,270568
20,22,41,0,1359603,3365305
21,23,43,0,2360567,5563519
22,24,45,0,809841,1752810
23,25,47,0,1316304,2843538
24,26,49,0,14002788,32071739
25,27,51,0,13779170,29505873
26,28,53,0,22698011,47558315
27,29,55,0,24516705,53298325
