GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
1,3,3,7,0,0
2,4,5,29,0,0
3,5,7,86,0,0
4,6,9,222,0,0
5,7,11,533,0,0
6,8,13,1227,0,0
7,9,15,2752,0,0
8,10,17,6068,0,0
9,11,19,13223,0,0
10,12,21,28569,0,0
11,13,23,61322,0,0
1,3,3,0,30,111
2,4,5,0,84,390
3,5,7,0,138,588
4,6,9,0,208,820
5,7,11,0,434,1910
6,8,13,0,384,1428
7,9,15,0,3846,18021
8,10,17,0,4544,24803
9,11,19,0,3206,13430
10,12,21,0,10532,52814
11,13,23,0,16274,73892
12,14,25,0,25000,116503
13,15,27,0,62882,307079
14,16,29,0,262532,1388936
15,17,31,0,166250,843869
16,18,33,0,349680,1540605
17,19,35,0,1351458,6665454
18,20,37,0,834860,4453220
19,21,39,0,1101682,5330008
20,22,41,0,11987516,62165747
21,23,43,0,20345858,105740810
22,24,45,0,6937868,33449141
23,25,47,0,11188730,54449120
24,26,49,0,112126924,615196693
25,27,51,0,110350634,556527416
26,28,53,0,180228544,872949985
27,29,55,0,196220074,1048304335
1,3,3,0,30,111
2,4,5,0,84,390
3,5,7,0,90,315
4,6,9,0,204,834
5,7,11,0,706,3469
6,8,13,0,1544,7961
7,9,15,0,2866,14287
8,10,17,0,1756,8227
9,11,19,0,8090,46052
10,12,21,0,13216,61573
11,13,23,0,20014,102481
12,14,25,0,48648,226245
13,15,27,0,110934,590463
14,16,29,0,76168,380854
15,17,31,0,177394,917095
16,18,33,0,384936,1921407
17,19,35,0,588554,3137345
18,20,37,0,1582064,8640638
19,21,39,0,4054234,21968329
20,22,41,0,4666520,24559976
21,23,43,0,8790370,42696331
22,24,45,0,34620800,192323084
23,25,47,0,75258650,444636191
24,26,49,0,37453480,188716966
25,27,51,0,29922986,142791770
26,28,53,0,89033824,388078948
1,3,3,7,0,0
2,4,5,29,0,0
3,5,7,86,0,0
4,6,9,222,0,0
5,7,11,533,0,0
6,8,13,1227,0,0
7,9,15,2752,0,0
8,10,17,6068,0,0
9,11,19,13223,0,0
10,12,21,28569,0,0
1,3,3,7,0,0
2,4,5,29,0,0
3,5,7,86,0,0
4,6,9,222,0,0
5,7,11,533,0,0
6,8,13,1227,0,0
7,9,15,2752,0,0
8,10,17,6068,0,0
9,11,19,13223,0,0
10,12,21,28569,0,0
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,202,958
4,6,9,0,308,1388
5,7,11,0,438,1797
6,8,13,0,968,4280
7,9,15,0,1286,5777
8,10,17,0,3448,13996
9,11,19,0,4454,17396
10,12,21,0,15844,83209
11,13,23,0,29822,159341
12,14,25,0,23352,103884
13,15,27,0,50278,254119
14,16,29,0,79080,333411
15,17,31,0,364114,1910791
16,18,33,0,462688,2263525
17,19,35,0,735758,3537908
18,20,37,0,1150192,6232348
19,21,39,0,1126870,5042968
20,22,41,0,1104728,5014346
21,23,43,0,7688894,38148890
22,24,45,0,13015400,62392622
23,25,47,0,27510010,139648885
24,26,49,0,38723328,203241411
25,27,51,0,81430606,375467770
26,28,53,0,89442384,437861733
27,29,55,0,218694470,1104356669
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,138,588
4,6,9,0,204,834
5,7,11,0,422,1718
6,8,13,0,664,2788
7,9,15,0,1926,8280
8,10,17,0,956,3467
9,11,19,0,10226,50438
10,12,21,0,8792,39662
11,13,23,0,31874,173606
12,14,25,0,68260,399613
13,15,27,0,146934,795942
14,16,29,0,186964,820366
15,17,31,0,177654,731244
16,18,33,0,153876,638535
17,19,35,0,724722,4046631
18,20,37,0,2988848,17864561
19,21,39,0,659986,2995189
20,22,41,0,8700116,48688016
21,23,43,0,4188434,18345164
22,24,45,0,5565712,23777113
23,25,47,0,29323666,157831102
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,304,1303
5,7,11,0,282,1128
6,8,13,0,960,4254
7,9,15,0,2722,13720
8,10,17,0,6172,36277
9,11,19,0,7194,36750
10,12,21,0,9352,40447
11,13,23,0,26270,128276
12,14,25,0,53412,238065
13,15,27,0,41934,188922
14,16,29,0,68388,330549
15,17,31,0,306970,1585267
16,18,33,0,439068,2446257
17,19,35,0,800474,3896888
18,20,37,0,1486824,7394262
19,21,39,0,1778382,9037899
20,22,41,0,5387060,29607932
21,23,43,0,2382338,11064899
22,24,45,0,17107168,93267859
23,25,47,0,50571370,305119108
24,26,49,0,29358268,155591467
25,27,51,0,54255066,269246706
26,28,53,0,81265756,423718051
27,29,55,0,175024338,856678497
28,30,57,0,205263660,1055763930
29,31,59,0,353220702,1686684030
1,3,3,7,30,111
2,4,5,29,84,390
3,5,7,86,202,958
4,6,9,222,132,456
5,7,11,533,434,1793
6,8,13,1227,384,1428
7,9,15,2752,2238,12273
8,10,17,6068,2536,10996
9,11,19,13223,4970,22196
10,12,21,28569,8316,32238
1,3,3,7,30,111
2,4,5,29,56,200
3,5,7,86,138,588
4,6,9,222,308,1388
5,7,11,533,690,3705
6,8,13,1227,960,4587
7,9,15,2752,2982,15798
8,10,17,6068,2324,10568
9,11,19,13223,12446,68309
10,12,21,28569,12616,62557
1,3,3,0,30,111
2,4,5,0,84,390
3,5,7,0,90,315
4,6,9,0,336,1704
5,7,11,0,282,1128
6,8,13,0,1060,5515
7,9,15,0,706,2758
8,10,17,0,1772,8108
9,11,19,0,11042,55808
10,12,21,0,36960,228543
