GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,336,1704
5,7,11,0,670,3289
6,8,13,0,584,2375
7,9,15,0,850,3550
8,10,17,0,2236,9130
9,11,19,0,11006,64331
10,12,21,0,25932,161400
11,13,23,0,18646,86236
12,14,25,0,56888,300986
13,15,27,0,84862,414523
14,16,29,0,31936,144337
15,17,31,0,868926,5753280
16,18,33,0,308112,1408542
17,19,35,0,334802,1629425
18,20,37,0,1326572,6240572
19,21,39,0,1068250,5182771
20,22,41,0,1690300,7995160
21,23,43,0,7315294,38123653
