GraphNumber,VertexNumber,EdgeNumber,PermutationTime(us),DFSTimev1(us),DFSTimev2(us)
1,3,3,0,6,18
2,4,5,0,8,16
3,5,7,0,10,24
4,6,9,0,30,100
5,7,11,0,41,124
6,8,13,0,144,565
7,9,15,0,504,1838
8,10,17,0,514,1588
9,11,19,0,326,1033
10,12,21,0,1351,3885
11,13,23,0,1207,3551
12,14,25,0,4085,12130
13,15,27,0,7025,18152
14,16,29,0,33124,96732
15,17,31,0,99451,307557
16,18,33,0,55500,146815
17,19,35,0,58776,133828
18,20,37,0,93016,220702
19,21,39,0,1855222,5636165
20,22,41,0,775509,2150746
21,23,43,0,800927,2037027
22,24,45,0,1972161,4859641
23,25,47,0,4788353,10915391
24,26,49,0,17402721,46566020
25,27,51,0,10476397,25830437
26,28,53,0,55851098,148318156
27,29,55,0,50044963,124806740
