GraphNumber,VertexNumber,EdgeNumber,PermutationTime(us),DFSTimev1(us),DFSTimev2(us)
1,3,3,15,0,0
2,4,5,29,0,0
3,5,7,126,0,0
4,6,9,613,0,0
5,7,11,4142,0,0
6,8,13,17673,0,0
7,9,15,80028,0,0
8,10,17,763119,0,0
9,11,19,8332109,0,0
10,12,21,100331639,0,0
11,13,23,1317891722,0,0
1,3,3,0,10,17
2,4,5,0,12,28
3,5,7,0,17,38
4,6,9,0,22,48
5,7,11,0,40,103
6,8,13,0,31,81
7,9,15,0,327,927
8,10,17,0,370,1182
9,11,19,0,246,690
10,12,21,0,929,2422
11,13,23,0,1518,3965
12,14,25,0,2243,5451
13,15,27,0,5673,14199
14,16,29,0,25995,71795
15,17,31,0,17495,49841
16,18,33,0,37771,86874
17,19,35,0,154416,340686
18,20,37,0,99652,230245
19,21,39,0,170453,270568
20,22,41,0,1359603,3365305
21,23,43,0,2360567,5563519
22,24,45,0,809841,1752810
23,25,47,0,1316304,2843538
24,26,49,0,14002788,32071739
25,27,51,0,13779170,29505873
26,28,53,0,22698011,47558315
27,29,55,0,24516705,53298325
1,3,3,0,7,14
2,4,5,0,7,26
3,5,7,0,8,19
4,6,9,0,23,57
5,7,11,0,65,201
6,8,13,0,137,441
7,9,15,0,249,749
8,10,17,0,151,466
9,11,19,0,710,2318
10,12,21,0,1205,3243
11,13,23,0,1899,5339
12,14,25,0,4793,13027
13,15,27,0,11372,31670
14,16,29,0,8111,19491
15,17,31,0,17936,48671
16,18,33,0,39804,94268
17,19,35,0,84505,164936
18,20,37,0,166833,409136
19,21,39,0,460810,1114355
20,22,41,0,516928,1254830
21,23,43,0,1014024,2270689
22,24,45,0,4152677,10014917
23,25,47,0,9384011,23107870
24,26,49,0,4493909,9623614
25,27,51,0,3583235,7376629
26,28,53,0,10919661,21105685
1,3,3,6,0,0
2,4,5,13,0,0
3,5,7,67,0,0
4,6,9,390,0,0
5,7,11,2171,0,0
6,8,13,16767,0,0
7,9,15,104513,0,0
8,10,17,767657,0,0
9,11,19,9067531,0,0
10,12,21,106342910,0,0
1,3,3,7,0,0
2,4,5,18,0,0
3,5,7,61,0,0
4,6,9,346,0,0
5,7,11,2195,0,0
6,8,13,15961,0,0
7,9,15,85616,0,0
8,10,17,816735,0,0
9,11,19,9014564,0,0
10,12,21,106921506,0,0
1,3,3,0,6,15
2,4,5,0,6,21
3,5,7,0,18,85
4,6,9,0,32,111
5,7,11,0,43,149
