GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,132,456
5,7,11,0,282,1128
6,8,13,0,900,3969
7,9,15,0,1146,5088
8,10,17,0,2428,11707
9,11,19,0,6830,32894
10,12,21,0,6992,31562
11,13,23,0,48930,275460
12,14,25,0,36080,160163
13,15,27,0,119898,692127
14,16,29,0,280100,1481726
15,17,31,0,359034,1695741
16,18,33,0,868144,4347058
17,19,35,0,346994,1604267
18,20,37,0,1714548,8712975
19,21,39,0,2401754,12228998
20,22,41,0,4177684,18181180
