GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,304,1303
5,7,11,0,282,1128
6,8,13,0,960,4254
7,9,15,0,2722,13720
8,10,17,0,6172,36277
9,11,19,0,7194,36750
10,12,21,0,9352,40447
11,13,23,0,26270,128276
12,14,25,0,53412,238065
13,15,27,0,41934,188922
14,16,29,0,68388,330549
15,17,31,0,306970,1585267
16,18,33,0,439068,2446257
17,19,35,0,800474,3896888
18,20,37,0,1486824,7394262
19,21,39,0,1778382,9037899
20,22,41,0,5387060,29607932
21,23,43,0,2382338,11064899
22,24,45,0,17107168,93267859
23,25,47,0,50571370,305119108
24,26,49,0,29358268,155591467
25,27,51,0,54255066,269246706
26,28,53,0,81265756,423718051
27,29,55,0,175024338,856678497
28,30,57,0,205263660,1055763930
29,31,59,0,353220702,1686684030
